ID,Name,Refl_file,Specular,m_d_tot,m_d,m_w_tot,V_tot,SMCv,SMCg,Clay,Silt,Sand,Density,OM,L,eps,d,K,a,psi,Slope,Intercept
1,Ithaca soil,phil14_119.csv,0,57.34,26.94,59.56,24.50,9.06,8.24,192,770,38,0.95,53,0.0112,0.02,0.0000,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_120.csv,0,57.34,26.94,59.51,24.50,8.86,8.05,192,770,38,0.95,53,0.0109,0.01,0.0000,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_121.csv,0,57.34,26.94,59.46,24.50,8.65,7.87,192,770,38,0.95,53,0.0120,0.02,0.0000,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_122.csv,0,57.34,26.94,59.41,24.50,8.45,7.68,192,770,38,0.95,53,0.0120,0.02,0.0000,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_123.csv,0,57.34,26.94,59.36,24.50,8.24,7.50,192,770,38,0.95,53,0.0103,0.01,0.0000,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_124.csv,0,57.34,26.94,59.32,24.50,8.08,7.35,192,770,38,0.95,53,0.0116,0.01,0.0000,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_125.csv,0,57.34,26.94,59.27,24.50,7.88,7.16,192,770,38,0.95,53,0.0122,0.01,0.0000,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_126.csv,0,57.34,26.94,59.23,24.50,7.71,7.02,192,770,38,0.95,53,0.0122,0.01,0.0000,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_127.csv,0,57.34,26.94,59.19,24.50,7.55,6.87,192,770,38,0.95,53,0.0139,0.01,0.0000,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_128.csv,0,57.34,26.94,59.14,24.50,7.35,6.68,192,770,38,0.95,53,0.0121,0.01,0.0000,41.87,7.35,910.85,1.1161,0.0156
