Wvl	alpha
1699	5.557063
1700	5.571411
1701	5.582900
1702	5.605488
1703	5.607300
1704	5.629370
1705	5.636000
1706	5.663565
1707	5.669715
1708	5.692766
1709	5.701456
1710	5.732800
1711	5.751911
1712	5.765600
1713	5.775990
1714	5.796562
1715	5.810700
1716	5.829376
1717	5.841700
1718	5.877042
1719	5.891213
1720	5.929600
1721	5.945078
1722	5.972031
1723	5.999319
1724	6.024593
1725	6.050700
1726	6.086707
1727	6.095642
1728	6.136200
1729	6.165866
1730	6.197499
1731	6.219300
1732	6.255451
1733	6.283889
1734	6.334600
1735	6.369043
1736	6.391966
1737	6.444500
1738	6.492604
1739	6.516576
1740	6.570500
1741	6.617025
1742	6.658363
1743	6.688518
1744	6.748000
1745	6.795648
1746	6.841949
1747	6.896600
1748	6.954460
1749	7.003420
1750	7.053828
1751	7.110600
1752	7.179039
1753	7.235201
1754	7.273692
1755	7.339300
1756	7.414269
1757	7.480606
1758	7.535550
1759	7.594000
1760	7.669034
1761	7.733841
1762	7.775659
1763	7.833300
1764	7.893200
1765	7.951531
1766	8.000394
1767	8.044804
1768	8.102600
1769	8.155100
1770	8.205219
1771	8.240978
1772	8.263979
1773	8.320600
1774	8.351600
1775	8.394235
1776	8.430177
1777	8.447908
1778	8.477215
1779	8.511600
1780	8.535300
1781	8.561878
1782	8.592536
1783	8.617477
1784	8.639479
1785	8.670443
1786	8.689300
1787	8.719800
1788	8.737651
1789	8.754966
1790	8.777281
1791	8.777635
1792	8.778132
1793	8.793771
1794	8.804600
1795	8.806900
1796	8.809200
1797	8.810749
1798	8.798747
1799	8.794614
1800	8.789446
1801	8.779308
1802	8.766579
1803	8.754130
1804	8.749558
1805	8.737563
1806	8.739200
1807	8.734500
1808	8.743700
1809	8.752800
1810	8.755000
1811	8.780058
1812	8.787154
1813	8.790225
1814	8.798223
1815	8.794290
1816	8.810841
1817	8.819854
1818	8.835833
1819	8.845373
1820	8.853675
1821	8.858280
1822	8.867692
1823	8.869400
1824	8.884170
1825	8.888035
1826	8.900445
1827	8.921816
1828	8.951358
1829	8.973424
1830	9.009555
1831	9.033773
1832	9.109647
1833	9.146176
1834	9.195063
1835	9.258537
1836	9.314798
1837	9.379617
1838	9.456660
1839	9.534971
1840	9.632641
1841	9.722824
1842	9.824100
1843	9.934600
1844	10.052000
1845	10.176000
1846	10.306000
1847	10.421731
1848	10.590180
1849	10.747525
1850	10.938962
1851	11.099355
1852	11.386157
1853	11.598404
1854	11.839612
1855	12.083941
1856	12.350000
1857	12.661000
1858	13.012000
1859	13.339298
1860	13.750688
1861	14.117256
1862	14.783328
1863	15.290013
1864	15.857862
1865	16.407000
1866	17.085000
1867	17.735730
1868	18.527332
1869	19.248169
1870	20.512460
1871	21.477095
1872	22.495000
1873	23.670000
1874	24.833642
1875	26.222727
1876	27.510653
1877	29.720713
1878	31.439328
1879	33.172000
1880	35.041339
1881	37.248128
1882	39.269008
1883	42.690706
1884	45.301545
1885	47.892000
1886	50.601722
1887	53.603655
1888	57.612512
1889	60.874591
1890	64.009000
1891	67.196813
1892	70.590473
1893	74.965426
1894	78.410275
1895	81.565000
